,Hotel Name,Address,Rating (5),Price (2)
1,The G.,"GT RoadM-Block,Connaught Place, Central Delhi",4.3,2000
2,My Bar Headquarters,"HC Place, Central Delhi",4.0,1500
3,Berco's,"BC Place, Central Delhi",4.3,1300
4,The Embassy,"EC Place, Central Delhi",4.1,2400
5,Sandoz,"SC Place, Central Delhi",4.0,1400
6,Unplugged Courtyard,"CC Place, Central Delhi",4.0,2500
7,Tamasha,"TC Place, Central Delhi",4.2,2000
8,Yeti - The Himalayan Kitchen,"KT Colonnade,Connaught Place, Central Delhi",4.3,1500
9,38 Barracks,"BM Place, Central Delhi",4.3,2700
10,Subway,"SC Place, Central Delhi",5.0,500
11,The Junkyard Cafe,"CC Place, Central Delhi",4.1,2100
12,Kill The Bill,"BC Place, Central Delhi",4.3,1300
13,Local,"LS House,Connaught Place, Central Delhi",4.0,2000
14,Desi Villagio - Village Theme Restro Bar,"BC Place, Central Delhi",4.1,1200
15,Gin & Juliet,"JF Place, Central Delhi",4.0,1100
16,Barbeque Nation,"NC Place, Central Delhi",4.3,2300
17,Farzi Cafe,"CC Place, Central Delhi",4.1,2000
18,Mughal-,"ME Place, Central Delhi",5.0,1000
19,Zaffran,"ZH Palace Heights,Connaught Place, Central Delhi",4.4,2600
20,Ardor 2.1 Restaurant and Lounge,"LC Place, Central Delhi",4.1,2000
21,The Host,"HF Place, Central Delhi",4.2,1800
22,United Coffee House,"HC Place, Central Delhi",4.4,4000
23,Taco Bell,"BC Place, Central Delhi",4.1,500
24,Biryani Blues,"BS House,Connaught Place, Central Delhi",4.2,700
25,Wok in the Clouds,"CC Place, Central Delhi",4.3,2200
26,Excuse Me Boss,"BF Place, Central Delhi",4.0,2000
27,Castle's Barbeque,"BC Place, Central Delhi",4.0,2000
28,The Imperial Cafe,"CC Place, Central Delhi",4.4,2600
29,Q,"QB Place, Central Delhi",4.2,2100
30,The Art of Dumpling,"DC Place, Central Delhi",4.4,3800
31,Punjab Grill,GJ Central Delhi,3.7,2200
32,Openhouse Cafe,"CC Place, Central Delhi",4.1,2000
33,Subway,"SM Place, Central Delhi",4.3,500
34,Caffe Tonino,"TP Plaza,Connaught Place, Central Delhi",4.4,2000
35,Chili's American Grill and Bar,"BM Place, Central Delhi",4.3,2000
36,Tea Lounge,"LC Inn Gurgaon,Civil Lines, Gurgaon",4.0,1400
37,Connaught Club House,"HC Place, Central Delhi",4.2,1800
38,Master Of Malts,"MS House,Connaught Place, Central Delhi",4.1,2500
39,My Bar Club- Drink & Dance,"DC Place, Central Delhi",3.7,2200
40,Ranisa,"RC Place, Central Delhi",4.3,800
41,Daryaganj,"DR Cinema Complex,Connaught Place, Central Delhi",3.9,2000
42,Pizza Hut,HJ Central Delhi,4.5,800
43,Bagundi,"BM Place, Central Delhi",4.2,1200
44,Chido,"CC Place, Central Delhi",4.2,1800
45,The Chai Story,"SC Place, Central Delhi",4.2,700
46,THE ART H,"HO RestaurantConnaught Place, Central Delhi",3.8,1600
47,Teddy Boy,"BC Place, Central Delhi",4.2,2800
48,Naivedyam,"NC Place, Central Delhi",4.1,600
49,Burger Singh - Big Punjabi Burgers,"BC Place, Central Delhi",4.2,400
50,Boisson The Blend Company,"CC Place, Central Delhi",4.2,500
51,Out Of The Box Courtyard,"CC Place, Central Delhi",4.1,2200
52,Dhaba Estd 1,"19 DelhiConnaught Place, Central Delhi",4.0,2000
53,Cafe Hawkers,"HC Place, Central Delhi",4.2,1600
54,Handi Chhadeyan Di,"DC Place, Central Delhi",4.3,800
55,Gola Sizzlers,"SC Place, Central Delhi",4.2,1100
56,Ghoomar Traditional Thali Restaurant,"RC Place, Central Delhi",4.1,1200
57,Ministry Of Beer,"BM Place, Central Delhi",4.0,3000
58,A,"AG Park Hotel,Connaught Place, Central Delhi",4.0,4000
59,A,"AQ Park Hotel,Connaught Place, Central Delhi",4.0,4500
60,M,"MI Park Hotel,Connaught Place, Central Delhi",3.9,2500
61,Imperfecto,IJ Central Delhi,4.1,2500
62,Cafe Delhi Heights,HJ Central Delhi,4.3,1300
63,The Luggage Room By Sandoz,"SM Place, Central Delhi",3.9,1600
64,Dunkin' Donuts,"DC Place, Central Delhi",4.2,400
65,The Darzi Bar & Kitchen,"KC Place, Central Delhi",4.1,1800
66,CP 24 Kitchen And Bar By Maharani,"MC Place, Central Delhi",4.0,1800
67,Halka Fulka,"FC Place, Central Delhi",3.7,300
68,Baluchi,"BT Lalit New Delhi,Connaught Place, Central Delhi",4.4,2400
69,O,"OK Lalit New Delhi,Connaught Place, Central Delhi",4.4,5200
70,The,"TH Connaught,Connaught Place, Central Delhi",3.8,3000
71,The Lalit Boulangerie,"BT Lalit New Delhi,Connaught Place, Central Delhi",4.1,1000
72,2,"24 Lalit New Delhi,Connaught Place, Central Delhi",3.9,2800
73,Southy,"SC Place, Central Delhi",3.6,500
74,Cinnabon,"CS Stadium Metro Station,Connaught Place, Central Delhi",3.9,500
75,Sorrento,"SS La Eros New Delhi,Janpath, Central Delhi",4.4,3600
76,Grappa,"GS La Eros New Delhi,Janpath, Central Delhi",4.6,3600
77,Shang Palace,"PS La Eros New Delhi,Janpath, Central Delhi",4.5,4000
78,"Chutney, Bar + Tandoor","TT Metropolitan Hotel,Connaught Place, Central Delhi",4.0,3500
79,Bo Tai - Switch,"SS La Eros New Delhi,Janpath, Central Delhi",4.1,2500
80,Zing,"ZT Metropolitan Hotel,Connaught Place, Central Delhi",4.0,3500
81,Eau de Monsoon,"ML Meridien New Delhi,Janpath, Central Delhi",4.5,4000
82,The One,"OL Meridien New Delhi,Janpath, Central Delhi",4.3,5000
83,Nero,"NL Meridien New Delhi,Janpath, Central Delhi",4.6,4000
84,Le Belvedere,"BL Meridien New Delhi,Janpath, Central Delhi",4.4,5000
85,Giani,"GC Place, Central Delhi",2.3,400
86,Longitude,"LL Meridien New Delhi,Janpath, Central Delhi",4.1,2500
87,Bistro 5,55 Central Delhi,3.6,900
88,Leo's Restaurant Lounge,LP Central Delhi,3.5,1200
89,Thalassery Restaurant,RP Central Delhi,4.0,900
90,Ichiban,"IP Road, Central Delhi",4.4,800
91,Rustom's,RI Central Delhi,4.6,2200
92,Dilli Gate,GD Central Delhi,4.5,600
93,Chor Bizarre,"BP Road, Central Delhi",4.5,3000
94,Pindi,"PP Road, Central Delhi",4.4,2300
95,Capten Milkshakes,"MC Chowk, Central Delhi",5.0,500
96,Cafe Chill'm,"CK Nagar, North Delhi",4.2,1300
97,Lakhori - Haveli Dharampura,"DC Chowk, Central Delhi",4.3,3000
98,House of Ming,"MT Taj Mahal,Mansingh Road, Central Delhi",4.5,5000
99,Capten Milkshakes,"MC Chowk, Central Delhi",4.5,500
100,Varq,"VT Taj Mahal,Mansingh Road, Central Delhi",4.3,4500
101,Southern Masala,"MK Bagh, Central Delhi",4.1,1100
102,MGM Club,"CM Residency 19,Daryaganj, Central Delhi",3.9,1800
103,Arya Bhavan,"BK Bagh, Central Delhi",3.7,500
104,Pizza Hut,"HK Bagh, Central Delhi",4.5,800
105,Aura,"AT Claridges,Aurangzeb Road, Central Delhi",4.9,1500
106,Tempting Xpress,"XK Bagh, Central Delhi",5.0,500
107,Yellow Brick Road,"RA Market, Central Delhi",4.4,2200
108,Subway,"SR Nagar, West Delhi",5.0,500
109,Sly Granny,"GK Market, Central Delhi",4.5,1800
110,Rule The Rolls,"RK Market, Central Delhi",4.7,600
111,High On Desserts,"DR Nagar, West Delhi",4.3,500
112,Mamagoto,"MK Market, Central Delhi",4.5,1500
113,Wok in the Clouds,"CK Market, Central Delhi",4.2,2200
114,Fiostel Cafe,"CK Bagh, Central Delhi",3.8,500
115,In,"IS BarAmbassador,Khan Market, Central Delhi",4.2,4000
116,Gaurav Kapoor Live At Junkyard Cafe,"CC Place, Central Delhi",0.0,300
117,Cafe Delhi Heights,"HK Market, Central Delhi",4.3,1300
118,Jade,"JT Claridges,Aurangzeb Road, Central Delhi",4.1,2500
119,Soda,"SB Market, Central Delhi",4.3,2000
120,Imly,"IA Arcade Mall,Karol Bagh, Central Delhi",3.7,800
121,Socia L Affaire,"AK Bagh, Central Delhi",3.6,1500
122,Anglow,"AK Market, Central Delhi",4.2,1600
123,BFF (Beer Food Feast) Restro Bar,"BK Bagh, Central Delhi",3.7,2000
124,Fat Lulu's,"LK Market, Central Delhi",4.2,1000
125,Kaarobaar,"KR Nagar, West Delhi",4.3,700
126,Wow! Momo,"MK Bagh, Central Delhi",3.8,400
127,Pikkle,"PR Nagar, West Delhi",4.0,1700
