,Hotel Name,Address,Rating (5),Price (2)
0,The G.,"GT RoadM-Block,Connaught Place, Central Delhi",4.3,2000
1,My Bar Headquarters,"HC Place, Central Delhi",4.0,1500
2,Berco's,"BC Place, Central Delhi",4.3,1300
3,The Embassy,"EC Place, Central Delhi",4.1,2400
4,Sandoz,"SC Place, Central Delhi",4.0,1400
5,Unplugged Courtyard,"CC Place, Central Delhi",4.0,2500
6,Tamasha,"TC Place, Central Delhi",4.2,2000
7,Yeti - The Himalayan Kitchen,"KT Colonnade,Connaught Place, Central Delhi",4.3,1500
8,38 Barracks,"BM Place, Central Delhi",4.3,2700
9,Subway,"SC Place, Central Delhi",5.0,500
10,The Junkyard Cafe,"CC Place, Central Delhi",4.1,2100
11,Kill The Bill,"BC Place, Central Delhi",4.3,1300
12,Local,"LS House,Connaught Place, Central Delhi",4.0,2000
13,Desi Villagio - Village Theme Restro Bar,"BC Place, Central Delhi",4.1,1200
14,Gin & Juliet,"JF Place, Central Delhi",4.0,1100
15,Barbeque Nation,"NC Place, Central Delhi",4.3,2300
16,Farzi Cafe,"CC Place, Central Delhi",4.1,2000
17,Mughal-,"ME Place, Central Delhi",5.0,1000
18,Zaffran,"ZH Palace Heights,Connaught Place, Central Delhi",4.4,2600
19,Ardor 2.1 Restaurant and Lounge,"LC Place, Central Delhi",4.1,2000
20,The Host,"HF Place, Central Delhi",4.2,1800
21,United Coffee House,"HC Place, Central Delhi",4.4,4000
22,Taco Bell,"BC Place, Central Delhi",4.1,500
23,Biryani Blues,"BS House,Connaught Place, Central Delhi",4.2,700
24,Wok in the Clouds,"CC Place, Central Delhi",4.3,2200
25,Excuse Me Boss,"BF Place, Central Delhi",4.0,2000
26,Castle's Barbeque,"BC Place, Central Delhi",4.0,2000
27,The Imperial Cafe,"CC Place, Central Delhi",4.4,2600
28,Q,"QB Place, Central Delhi",4.2,2100
29,The Art of Dumpling,"DC Place, Central Delhi",4.4,3800
30,Openhouse Cafe,"CC Place, Central Delhi",4.1,2000
31,Subway,"SM Place, Central Delhi",4.3,500
32,Caffe Tonino,"TP Plaza,Connaught Place, Central Delhi",4.4,2000
33,Chili's American Grill and Bar,"BM Place, Central Delhi",4.3,2000
34,Tea Lounge,"LC Inn Gurgaon,Civil Lines, Gurgaon",4.0,1400
35,Connaught Club House,"HC Place, Central Delhi",4.2,1800
36,Master Of Malts,"MS House,Connaught Place, Central Delhi",4.1,2500
37,Ranisa,"RC Place, Central Delhi",4.3,800
38,Pizza Hut,HJ Central Delhi,4.5,800
39,Bagundi,"BM Place, Central Delhi",4.2,1200
40,Chido,"CC Place, Central Delhi",4.2,1800
41,The Chai Story,"SC Place, Central Delhi",4.2,700
42,Teddy Boy,"BC Place, Central Delhi",4.2,2800
43,Naivedyam,"NC Place, Central Delhi",4.1,600
44,Burger Singh - Big Punjabi Burgers,"BC Place, Central Delhi",4.2,400
45,Boisson The Blend Company,"CC Place, Central Delhi",4.2,500
46,Out Of The Box Courtyard,"CC Place, Central Delhi",4.1,2200
47,Dhaba Estd 1,"19 DelhiConnaught Place, Central Delhi",4.0,2000
48,Cafe Hawkers,"HC Place, Central Delhi",4.2,1600
49,Handi Chhadeyan Di,"DC Place, Central Delhi",4.3,800
50,Gola Sizzlers,"SC Place, Central Delhi",4.2,1100
51,Ghoomar Traditional Thali Restaurant,"RC Place, Central Delhi",4.1,1200
52,Ministry Of Beer,"BM Place, Central Delhi",4.0,3000
